Country,Date,No. of confirmed cases,No. of confirmed deaths
United Kingdom,13/02/2015,1,
Senegal,13/02/2015,1,0
Liberia,13/02/2015,3147,3858
Sierra Leone,13/02/2015,8155,2997
Spain,13/02/2015,1,0
Nigeria,13/02/2015,19,7
Spain,16/02/2015,1,0
Sierra Leone,16/02/2015,8199,3035
Nigeria,16/02/2015,19,7
United Kingdom,16/02/2015,1,
United States of America,16/02/2015,4,1
Mali,16/02/2015,7,
Guinea,16/02/2015,2720,1678
Senegal,16/02/2015,1,0
Liberia,16/02/2015,3149,
Mali,17/02/2015,7,
Sierra Leone,17/02/2015,8212,3042
United Kingdom,17/02/2015,1,
United States of America,17/02/2015,4,1
Spain,17/02/2015,1,0
Senegal,17/02/2015,1,0
Liberia,17/02/2015,3149,
Nigeria,17/02/2015,19,7
Guinea,17/02/2015,2727,1683
United Kingdom,18/02/2015,1,
United States of America,18/02/2015,4,1
Nigeria,18/02/2015,19,7
Spain,18/02/2015,1,0
Senegal,18/02/2015,1,0
Sierra Leone,18/02/2015,8212,3042
Mali,18/02/2015,7,
Liberia,18/02/2015,3149,
Guinea,18/02/2015,2727,1683
Sierra Leone,19/02/2015,8223,3057
Senegal,19/02/2015,1,0
United States of America,19/02/2015,4,1
Liberia,19/02/2015,3152,
United Kingdom,19/02/2015,1,
Guinea,19/02/2015,2732,1686
Spain,19/02/2015,1,0
Mali,19/02/2015,7,
Nigeria,19/02/2015,19,7
United Kingdom,20/02/2015,1,
Guinea,20/02/2015,2734,1688
Spain,20/02/2015,1,0
Nigeria,20/02/2015,19,7
Senegal,20/02/2015,1,0
Sierra Leone,20/02/2015,8223,3057
Mali,20/02/2015,7,
United States of America,20/02/2015,4,1
Liberia,20/02/2015,3152,
United States of America,23/02/2015,4,1
Spain,23/02/2015,1,0
Sierra Leone,23/02/2015,8223,3057
United Kingdom,23/02/2015,1,
Senegal,23/02/2015,1,0
Guinea,23/02/2015,2758,1699
Liberia,23/02/2015,3153,
Mali,23/02/2015,7,
Nigeria,23/02/2015,19,7
United States of America,25/02/2015,4,1
Sierra Leone,25/02/2015,8289,3095
United Kingdom,25/02/2015,1,
Senegal,25/02/2015,1,0
Guinea,25/02/2015,2762,1704
Liberia,25/02/2015,3153,
Mali,25/02/2015,7,
Spain,25/02/2015,1,0
Nigeria,25/02/2015,19,7
United Kingdom,26/02/2015,1,
United States of America,26/02/2015,4,1
Guinea,26/02/2015,2781,1714
Spain,26/02/2015,1,0
Mali,26/02/2015,7,
Liberia,26/02/2015,3153,
Sierra Leone,26/02/2015,8308,3113
Nigeria,26/02/2015,19,7
Senegal,26/02/2015,1,0
Guinea,27/02/2015,2790,1721
Nigeria,27/02/2015,19,7
United States of America,27/02/2015,4,1
Mali,27/02/2015,7,
United Kingdom,27/02/2015,1,
Senegal,27/02/2015,1,0
Sierra Leone,27/02/2015,8320,3124
Spain,27/02/2015,1,0
Liberia,27/02/2015,3153,
Liberia,02/03/2015,3153,
Nigeria,02/03/2015,19,7
Senegal,02/03/2015,1,0
Spain,02/03/2015,1,0
Mali,02/03/2015,7,
United States of America,02/03/2015,4,1
Sierra Leone,02/03/2015,8353,3164
United Kingdom,02/03/2015,1,
Guinea,02/03/2015,2808,1735
Liberia,04/03/2015,3153,
Mali,04/03/2015,7,
Sierra Leone,04/03/2015,8353,3164
Guinea,04/03/2015,2808,1735
Senegal,04/03/2015,1,0
Spain,04/03/2015,1,0
Nigeria,04/03/2015,19,7
United Kingdom,04/03/2015,1,
United States of America,04/03/2015,4,1
Senegal,05/03/2015,1,0
Sierra Leone,05/03/2015,8383,3199
Guinea,05/03/2015,2833,1749
Spain,05/03/2015,1,0
Nigeria,05/03/2015,19,7
Mali,05/03/2015,7,
United Kingdom,05/03/2015,1,
United States of America,05/03/2015,4,1
Liberia,05/03/2015,3150,
Senegal,06/03/2015,1,0
Sierra Leone,06/03/2015,8389,3210
Liberia,06/03/2015,3150,
Mali,06/03/2015,7,
Spain,06/03/2015,1,0
Nigeria,06/03/2015,19,7
Guinea,06/03/2015,2840,1755
United Kingdom,06/03/2015,1,
United States of America,06/03/2015,4,1
United States of America,10/03/2015,4,1
Sierra Leone,10/03/2015,8428,3263
Nigeria,10/03/2015,19,7
Liberia,10/03/2015,3150,
Mali,10/03/2015,7,
Senegal,10/03/2015,1,0
Spain,10/03/2015,1,0
Guinea,10/03/2015,2871,1778
United Kingdom,10/03/2015,1,
Guinea,11/03/2015,2871,1778
Sierra Leone,11/03/2015,8428,3263
Liberia,11/03/2015,3150,
Mali,11/03/2015,7,
Spain,11/03/2015,1,0
United States of America,11/03/2015,4,1
United Kingdom,11/03/2015,1,
Nigeria,11/03/2015,19,7
Senegal,11/03/2015,1,0
Senegal,12/03/2015,1,0
United States of America,12/03/2015,4,1
Sierra Leone,12/03/2015,8463,3289
Guinea,12/03/2015,2901,1792
Liberia,12/03/2015,3150,
United Kingdom,12/03/2015,1,
Mali,12/03/2015,7,
Spain,12/03/2015,1,0
Nigeria,12/03/2015,19,7
Liberia,13/03/2015,3150,
Guinea,13/03/2015,2911,1797
United Kingdom,13/03/2015,1,
Nigeria,13/03/2015,19,7
Senegal,13/03/2015,1,0
Sierra Leone,13/03/2015,8469,3297
United States of America,13/03/2015,4,1
Spain,13/03/2015,1,0
Mali,13/03/2015,7,
Guinea,16/03/2015,2957,1821
Nigeria,16/03/2015,19,7
Senegal,16/03/2015,1,0
Mali,16/03/2015,7,
Sierra Leone,16/03/2015,8484,3321
United States of America,16/03/2015,4,1
Spain,16/03/2015,1,0
United Kingdom,16/03/2015,1,
Liberia,16/03/2015,3150,
Sierra Leone,17/03/2015,8487,3325
Senegal,17/03/2015,1,0
United States of America,17/03/2015,4,1
Guinea,17/03/2015,2966,1829
Mali,17/03/2015,7,
Spain,17/03/2015,1,0
Nigeria,17/03/2015,19,7
United Kingdom,17/03/2015,1,
Liberia,17/03/2015,3150,
United States of America,18/03/2015,4,1
United Kingdom,18/03/2015,1,
Mali,18/03/2015,7,
Nigeria,18/03/2015,19,7
Guinea,18/03/2015,2966,1829
Senegal,18/03/2015,1,0
Sierra Leone,18/03/2015,8487,3325
Liberia,18/03/2015,3150,
Spain,18/03/2015,1,0
United Kingdom,20/03/2015,1,
Guinea,20/03/2015,2988,1846
Senegal,20/03/2015,1,0
Mali,20/03/2015,7,
Sierra Leone,20/03/2015,8508,3346
United States of America,20/03/2015,4,1
Liberia,20/03/2015,3150,
Nigeria,20/03/2015,19,7
Spain,20/03/2015,1,0
Sierra Leone,23/03/2015,8518,3376
Mali,23/03/2015,7,
Spain,23/03/2015,1,0
Nigeria,23/03/2015,19,7
United Kingdom,23/03/2015,1,
Senegal,23/03/2015,1,0
United States of America,23/03/2015,4,1
Liberia,23/03/2015,3151,
Guinea,23/03/2015,3007,1863
Senegal,24/03/2015,1,0
Guinea,24/03/2015,3011,1865
United States of America,24/03/2015,4,1
Nigeria,24/03/2015,19,7
Spain,24/03/2015,1,0
Sierra Leone,24/03/2015,8520,3381
Liberia,24/03/2015,3151,
Mali,24/03/2015,7,
United Kingdom,24/03/2015,1,
Guinea,25/03/2015,3011,1865
Spain,25/03/2015,1,0
Mali,25/03/2015,7,
Sierra Leone,25/03/2015,8520,3381
United Kingdom,25/03/2015,1,
United States of America,25/03/2015,4,1
Nigeria,25/03/2015,19,7
Senegal,25/03/2015,1,0
Liberia,25/03/2015,3151,
United Kingdom,26/03/2015,1,
United States of America,26/03/2015,4,1
Nigeria,26/03/2015,19,7
Guinea,26/03/2015,3032,1875
Liberia,26/03/2015,3151,
Spain,26/03/2015,1,0
Mali,26/03/2015,7,
Sierra Leone,26/03/2015,8529,3398
Senegal,26/03/2015,1,0
Spain,27/03/2015,1,0
Liberia,27/03/2015,3151,
Senegal,27/03/2015,1,0
Nigeria,27/03/2015,19,7
Sierra Leone,27/03/2015,8532,3407
United Kingdom,27/03/2015,1,
Mali,27/03/2015,7,
Guinea,27/03/2015,3042,1878
United States of America,27/03/2015,4,1
Guinea,07/04/2015,3089,1919
Senegal,07/04/2015,1,0
United States of America,07/04/2015,4,1
Sierra Leone,07/04/2015,8555,3466
Spain,07/04/2015,1,0
Nigeria,07/04/2015,19,7
Mali,07/04/2015,7,
